Bab;Padişah Dönemi;Kişi;Sosyal Grup;İlişki Ağı (Genelde Kadınlar);NA Aile ilişkisi;NA Aile İlişkisi;NA Gelecek Nesil;Cinsiyet;Karar(Direkt);Karar (dolaylı);Etken Aktör;Sıfat-Söylem;Sıfat Değeri;Bizden;Öteki;Yaş;Ölüm Nedeni;;;;;;;;;;;;;;;
22;Osman Gazi;Konur Alp;Gazi;;;;;Erkek;n/a;n/a;n/a;Aziz;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
22;Osman Gazi;Gazi Abdurrahman;Gazi;;;;;Erkek;n/a;n/a;n/a;Aziz;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
22;Osman Gazi;Köse Mihal;Gazi;;;;;Erkek;n/a;n/a;n/a;Aziz;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
22;Osman Gazi;Samsa Çavuş;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
23;Osman Gazi;Osman Gazi;Gazi;;;;;Erkek;n/a;n/a;n/a;Ayagında zahmet vakı'ı olmış;Olumsuz;Evet;-;;;;;;;;;;;;;;;;;
23;Osman Gazi;Orhan Gāzi;Gazi;;;;;Erkek;Hazineyi gazilere bahş itdü;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
23;Osman Gazi;Bay Hoca;Şeyh;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
23;Osman Gazi;Köse Mihal;Gazi;;;;;Erkek;n/a;n/a;n/a;Yoldaş;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
23;Osman Gazi;Turkut Alp;Gazi;;;;;Erkek;n/a;n/a;n/a;Yoldaş;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
23;Osman Gazi;Şeyh Mahmud;Şeyh;;;;;Erkek;n/a;n/a;n/a;Allah dostu;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
23;Osman Gazi;Edebalı;Şeyh;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
23;Osman Gazi;Ahı Hasan;Ahi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
23;Osman Gazi;Baras Teküri;Tekür;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;-;Evet;;;;;;;;;;;;;;;;;
23;Osman Gazi;Saroz;Vezir;;;;;Erkek;n/a;n/a;n/a;Çok malı var-ıdı;Olumlu;-;Evet;;;;;;;;;;;;;;;;;
24;Osman Gazi;Osman Gazi;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
24;Osman Gazi;Orhan Gāzi;Gazi;;;;;Erkek;n/a;n/a;n/a;Ogul;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
25;Osman Gazi;Konur Alp;Gazi;;;;;Erkek;n/a;n/a;n/a;Cenk ü gaza;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
25;Osman Gazi;Gazi Rahman;Gazi;;;;;Erkek;n/a;n/a;n/a;Cenk ü gaza;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
25;Osman Gazi;Akça koca;Gazi;;;;;Erkek;n/a;n/a;n/a;Cenk ü gaza;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
25;Osman Gazi;Samandıra teküri;Tekür;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;-;Evet;;;;;;;;;;;;;;;;;
25;Osman Gazi;Samandıra teküri oğlu;n/a;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;-;Evet;;;;;;;;;;;;;;;;;
25;Osman Gazi;Orhan Gāzi;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
25;Osman Gazi;İznikmid teküri;Tekür;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;-;Evet;;;;;;;;;;;;;;;;;
25;Osman Gazi;İstanbol teküri;Tekür;;;;;Erkek;n/a;n/a;n/a;Cengi eksük degül;Nötr;-;Evet;;;;;;;;;;;;;;;;;
25;Osman Gazi;Aydos teküri;Tekür;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;-;Evet;;;;;;;;;;;;;;;;;
26;Osman Gazi;Gazi Rahman;Gazi;;;;;Erkek;n/a;n/a;n/a;Server;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
26;Osman Gazi;Akça koca;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
26;Osman Gazi;Konur Alp;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
26;Osman Gazi;Kapucı;n/a;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;-;Evet;;;;;;;;;;;;;;;;;
27;Osman Gazi;Gazi Rahman;Gazi;;;;;Erkek;n/a;n/a;n/a;İstanbol'a dahı çok işler idüp turur;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
27;Osman Gazi;Orhan;Gazi;;;;;Erkek;Kızı Gazi Rahman'a virdi;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
27;Osman Gazi;Karaca Rahman;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
27;Osman Gazi;Bayezid I;Padişah;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
28;Osman Gazi;Orhan Gāzi;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n;Evet;-;;;;;;;;;;;;;;;;;
28;Osman Gazi;Edebalı;Şeyh;;;;;Erkek;n/a;n/a;n/a;Allah rahmetine vasıl oldu;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
28;Osman Gazi;Osman Gazi;Gazi;;;;;Erkek;n/a;n/a;n/a;Allah rahmetine vasıl oldu;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
28;Osman Gazi;Malhun;Hatun;;;;;Kadın;n/a;n/a;n/a;Allah rahmetine vasıl oldu;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
